,phase,set_input_voltage,set_output_voltage,U_in,I_in,P_in,U_out,I_out,P_out,n
123,5.0,31.5,11.0,31.46074,0.02570241,0.808617,11.06208,0.0411768,0.4555011,0.5633088
124,5.0,31.5,11.5,31.46161,0.02466308,0.7759401,11.55864,0.03384331,0.3911825,0.5041401
125,5.0,31.5,12.0,31.46239,0.02409318,0.7580288,12.06186,0.02875694,0.3468621,0.4575844
126,5.0,32.0,8.0,31.95088,0.03237754,1.034491,8.03737,0.09637517,0.7746028,0.7487768
127,5.0,32.0,8.5,31.95004,0.03313577,1.058689,8.541825,0.09261176,0.7910735,0.7472199
128,5.0,32.0,9.0,31.95137,0.0329773,1.05367,9.038149,0.0868642,0.7850915,0.7451021
129,5.0,32.0,9.5,31.95199,0.03170262,1.012962,9.54573,0.07832183,0.747639,0.7380722
130,5.0,32.0,10.0,31.95296,0.02989216,0.955143,10.08371,0.06555006,0.6609875,0.6920299
131,5.0,32.0,10.5,31.95475,0.02812685,0.8987865,10.57264,0.05491547,0.5806014,0.6459837
132,5.0,32.0,11.0,31.95541,0.02644606,0.8450948,11.06425,0.04458636,0.4933147,0.5837389
133,5.0,32.0,11.5,31.95666,0.02521458,0.8057738,11.56042,0.03647369,0.4216512,0.5232873
134,5.0,32.0,12.0,31.95716,0.02452885,0.7838723,12.06324,0.03088584,0.3725835,0.4753114
135,5.0,32.5,8.0,32.46801,0.03254655,1.056722,8.037409,0.09860563,0.7925337,0.7499928
136,5.0,32.5,8.5,32.46685,0.03340317,1.084496,8.541855,0.09505302,0.8119292,0.7486699
137,5.0,32.5,9.0,32.4664,0.03361982,1.091514,9.038222,0.09006875,0.8140614,0.7458092
138,5.0,32.5,9.5,32.46701,0.03256773,1.057377,9.546051,0.08223781,0.7850463,0.7424472
139,5.0,32.5,10.0,32.4693,0.03081771,1.00063,10.08692,0.06970518,0.7031105,0.702668
140,5.0,32.5,10.5,32.4703,0.0290526,0.9433469,10.57577,0.05897478,0.6237037,0.6611605
141,5.0,32.5,11.0,32.47195,0.02729332,0.8862675,11.06682,0.04837022,0.5353045,0.6039988
142,5.0,32.5,11.5,32.47256,0.02585437,0.8395576,11.56256,0.03951061,0.4568439,0.5441484
143,5.0,32.5,12.0,32.47287,0.02501123,0.8121862,12.06478,0.0333081,0.4018547,0.4947815
144,5.0,33.0,8.0,32.96309,0.03270112,1.07793,8.037482,0.1005723,0.8083481,0.7499077
145,5.0,33.0,8.5,32.96244,0.03361931,1.108175,8.541847,0.09723436,0.830561,0.7494856
146,5.0,33.0,9.0,32.96202,0.0341143,1.124476,9.038361,0.0928807,0.8394893,0.7465602
147,5.0,33.0,9.5,32.96279,0.03336249,1.099721,9.546494,0.08596727,0.8206861,0.7462678
148,5.0,33.0,10.0,32.96483,0.03170054,1.045003,10.08989,0.07366752,0.7432969,0.7112869
