,U_in,I_in,P_in,U_out,I_out,P_out,n
264,28.48052,0.02718425,0.7742215,9.02272,0.05857472,0.5285033,0.6826254
265,28.48165,0.02551509,0.726712,9.532263,0.04860013,0.4632692,0.6374867
266,28.48329,0.02404704,0.6849387,10.01395,0.03945353,0.3950855,0.5768188
267,28.48442,0.02297673,0.6544787,10.51402,0.0315746,0.3319759,0.5072372
268,28.48442,0.02241937,0.6386027,10.99731,0.02553941,0.2808649,0.4398116
269,28.48451,0.02205772,0.6283033,11.5046,0.02095087,0.2410314,0.3836227
270,28.75834,0.02203165,0.6335937,12.01886,0.01904183,0.2288612,0.3612112
271,28.97445,0.03041551,0.8812725,8.06573,0.07897816,0.6370165,0.7228372
272,28.97563,0.0294524,0.8534017,8.540014,0.07153838,0.6109388,0.7158865
273,28.97637,0.02798539,0.8109152,9.038835,0.06208509,0.5611768,0.692029
274,28.97792,0.02637078,0.7641703,9.529961,0.0524855,0.5001848,0.6545462
275,28.97877,0.02474681,0.7171319,10.03169,0.04256526,0.4270015,0.5954295
276,28.97971,0.02355588,0.6826425,10.51237,0.03427292,0.3602896,0.5277867
277,28.98009,0.02283608,0.6617917,11.01522,0.02742612,0.3021048,0.4564953
278,28.98058,0.02244865,0.650575,11.50362,0.02291468,0.2636019,0.4051829
279,29.25235,0.02239182,0.6550133,12.01803,0.02055455,0.2470252,0.3771301
280,29.46987,0.03094786,0.9120293,8.068209,0.08192904,0.6610206,0.72478
281,29.47038,0.03021205,0.8903605,8.542923,0.07503877,0.6410504,0.7199897
282,29.47106,0.0288476,0.8501693,9.034833,0.06608394,0.5970573,0.7022805
283,29.47212,0.02724531,0.8029768,9.525689,0.05651754,0.5383685,0.6704658
284,29.47411,0.02556406,0.7534781,10.02752,0.046375,0.4650262,0.6171728
285,29.47511,0.02420653,0.7134903,10.50845,0.03731211,0.3920922,0.5495411
286,29.47519,0.02331533,0.6872238,11.01288,0.02980868,0.3282795,0.4776894
287,29.47635,0.02285572,0.6737034,11.50026,0.02484564,0.2857313,0.4241203
288,29.75461,0.02276319,0.67731,12.01464,0.02225381,0.2673714,0.3947549
289,29.985,0.03136671,0.9405308,8.070219,0.08474264,0.6838917,0.7271337
290,29.9854,0.03096128,0.9283864,8.540167,0.07866441,0.6718072,0.7236289
291,29.98632,0.0297038,0.8907077,9.040154,0.06995697,0.6324219,0.7100218
292,29.98772,0.02812492,0.8434025,9.532141,0.06047637,0.5764692,0.6835043
293,29.9898,0.02642188,0.7923868,10.03335,0.05016139,0.5032868,0.6351529
294,29.99007,0.02492614,0.7475367,10.51319,0.04062396,0.4270876,0.5713266
295,29.99137,0.02385734,0.7155145,11.01239,0.03247774,0.3576574,0.4998604
296,29.99156,0.02328799,0.6984432,11.503,0.02697143,0.3102523,0.4442055
297,30.255,0.02314727,0.7003205,12.01625,0.02420254,0.2908238,0.4152724
298,30.47714,0.03167105,0.9652432,8.072164,0.08718728,0.70379,0.7291323
299,30.47745,0.03167042,0.9652336,8.491321,0.08403824,0.7135957,0.7392984
300,30.47867,0.03064213,0.9339312,8.995831,0.07597665,0.6834731,0.7318237
301,30.47936,0.02898923,0.8835732,9.531151,0.06438646,0.613677,0.6945401
302,30.48084,0.02728331,0.8316185,10.03034,0.05414825,0.5431251,0.6530941
303,30.48193,0.02563827,0.7815042,10.52651,0.04380694,0.4611343,0.5900599
304,30.48294,0.02443442,0.7448329,11.00854,0.03537467,0.3894234,0.5228333
305,30.48359,0.02371077,0.7227893,11.51496,0.02907802,0.3348323,0.4632502
306,30.7406,0.02353558,0.7234976,12.00867,0.02598209,0.3120104,0.4312529
