,set_voltage_in,set_voltage_out,phase,measured_voltage_in,measured_current_in,measured_power_in,measured_voltage_out,measured_current_out,measured_power_out,wirkung
211,26.0,10.0,80.0,25.46801,0.2329383,5.932474,10.10169,0.5275006,5.328649,0.898217
212,26.0,10.5,80.0,25.46527,0.2439207,6.211506,10.59977,0.5257509,5.572839,0.89718
213,26.0,11.0,80.0,25.46409,0.2548721,6.490087,11.09608,0.5240291,5.814671,0.8959311
214,26.0,11.5,80.0,25.46214,0.2659229,6.770966,11.59831,0.5223375,6.058231,0.8947365
215,26.0,12.0,80.0,25.46121,0.2772001,7.057849,12.10999,0.5207123,6.30582,0.8934479
216,26.5,8.0,80.0,26.46857,0.1890814,5.004713,8.096981,0.5564827,4.50583,0.9003175
217,26.5,8.5,80.0,26.46673,0.2002724,5.300556,8.604021,0.5547365,4.772964,0.900465
218,26.5,9.0,80.0,26.46461,0.2111094,5.586929,9.0954,0.5530542,5.030249,0.9003602
219,26.5,9.5,80.0,26.46329,0.2223108,5.883073,9.603942,0.5513832,5.295452,0.9001166
220,26.5,10.0,80.0,26.46177,0.2333639,6.175223,10.10547,0.5496998,5.554973,0.8995582
221,26.5,10.5,80.0,26.45957,0.2443459,6.465286,10.60328,0.5479473,5.81004,0.8986517
222,26.5,11.0,80.0,26.45801,0.2552942,6.754576,11.10008,0.5462328,6.063228,0.8976474
223,26.5,11.5,80.0,26.4559,0.2663557,7.04668,11.60188,0.5445277,6.317544,0.8965276
224,26.5,12.0,80.0,26.45394,0.2776374,7.344602,12.11377,0.54287,6.576202,0.8953789
225,27.0,8.0,80.0,26.46903,0.1890764,5.004669,8.097052,0.5564838,4.505878,0.900335
226,27.0,8.5,80.0,26.46706,0.2002715,5.300597,8.604073,0.5547395,4.773019,0.9004682
227,27.0,9.0,80.0,26.46556,0.2110955,5.586761,9.095382,0.5530787,5.030461,0.9004253
228,27.0,9.5,80.0,26.46392,0.2223083,5.883149,9.603898,0.5514056,5.295643,0.9001376
229,27.0,10.0,80.0,26.46165,0.2333559,6.174984,10.10524,0.5497056,5.554905,0.8995823
230,27.0,10.5,80.0,26.45959,0.2443329,6.464947,10.6033,0.5479627,5.810215,0.8987257
231,27.0,11.0,80.0,26.458,0.255289,6.754437,11.09987,0.5462217,6.062992,0.8976309
232,27.0,11.5,80.0,26.45626,0.2663367,7.046273,11.60176,0.5445431,6.317659,0.8965959
233,27.0,12.0,80.0,26.45467,0.2776322,7.344669,12.11359,0.5428882,6.576322,0.8953872
234,27.5,8.0,80.0,27.4804,0.1895316,5.208403,8.100801,0.5790684,4.690918,0.9006441
235,27.5,8.5,80.0,27.47861,0.2007076,5.515168,8.608039,0.5773184,4.96958,0.9010749
236,27.5,9.0,80.0,27.47702,0.2115477,5.812701,9.099231,0.575663,5.23809,0.9011457
237,27.5,9.5,80.0,27.4752,0.2227486,6.120062,9.607415,0.5739733,5.5144,0.9010366
238,27.5,10.0,80.0,27.47329,0.2337915,6.423022,10.1088,0.5722692,5.784954,0.9006591
239,27.5,10.5,80.0,27.47139,0.2447816,6.72449,10.60685,0.5705357,6.051587,0.8999325
240,27.5,11.0,80.0,27.46997,0.2557325,7.024963,11.10368,0.5688273,6.316079,0.8990906
241,27.5,11.5,80.0,27.4688,0.2667836,7.328224,11.6053,0.5671657,6.582126,0.8981884
242,27.5,12.0,80.0,27.46674,0.2780682,7.637629,12.11734,0.5654864,6.852189,0.8971618
243,28.0,8.0,80.0,27.48046,0.1895299,5.208371,8.10073,0.579081,4.690979,0.9006615
244,28.0,8.5,80.0,27.47851,0.2007052,5.515079,8.607799,0.5773262,4.969508,0.9010764
245,28.0,9.0,80.0,27.47707,0.2115382,5.81245,9.09924,0.5756619,5.238086,0.9011837
246,28.0,9.5,80.0,27.47481,0.2227387,6.119704,9.607473,0.5739833,5.514529,0.9011104
247,28.0,10.0,80.0,27.47385,0.2337864,6.423011,10.10893,0.5722862,5.785202,0.9006993
248,28.0,10.5,80.0,27.47189,0.2447708,6.724317,10.60691,0.5705513,6.051788,0.8999855
249,28.0,11.0,80.0,27.46968,0.2557193,7.024527,11.10382,0.5688317,6.316206,0.8991647
250,28.0,11.5,80.0,27.46813,0.2667751,7.327814,11.60537,0.5671418,6.58189,0.8982065
251,28.0,12.0,80.0,27.46683,0.278066,7.637591,12.11731,0.565484,6.852143,0.8971602
252,28.5,8.0,80.0,28.47367,0.1899446,5.40842,8.104321,0.6012582,4.872789,0.9009635
253,28.5,8.5,80.0,28.47111,0.201135,5.726536,8.611622,0.5994955,5.162629,0.9015273
254,28.5,9.0,80.0,28.47007,0.2119708,6.034824,9.102965,0.5978354,5.442075,0.9017786
255,28.5,9.5,80.0,28.46806,0.223166,6.353104,9.610743,0.5961409,5.729356,0.9018201
256,28.5,10.0,80.0,28.46669,0.2342248,6.667604,10.11232,0.59447,6.011471,0.9015938
257,28.5,10.5,80.0,28.46496,0.2452001,6.979612,10.61021,0.5927377,6.289069,0.9010628
258,28.5,11.0,80.0,28.46298,0.2561571,7.290993,11.10748,0.5910051,6.564575,0.9003677
259,28.5,11.5,80.0,28.461,0.2672061,7.604953,11.60855,0.5893223,6.84118,0.899569
260,28.5,12.0,80.0,28.45986,0.2784859,7.92567,12.12063,0.5876615,7.122827,0.8987035
261,29.0,8.0,80.0,28.47368,0.1899613,5.408897,8.104264,0.6012433,4.872634,0.9008554
262,29.0,8.5,80.0,28.47132,0.201141,5.726751,8.611664,0.5994971,5.162667,0.9015002
263,29.0,9.0,80.0,28.46993,0.211963,6.034573,9.10298,0.5978432,5.442154,0.9018292
264,29.0,9.5,80.0,28.46811,0.2231591,6.352919,9.61065,0.5961655,5.729538,0.9018749
